"SYMBOL","ENTREZID"
"CDCA5","113130"
"HSCB","150274"
"PTCD3","55037"
"DDX6","1656"
"DSN1","79980"
"CSE1L","1434"
"GEMIN5","25929"
"ATP5D",NA
"WDR61","80349"
"LRPPRC","10128"
"TPR","7175"
"LARS","51520"
"FTSJ3","117246"
"NDOR1","27158"
"BRD4","23476"
"DDX54","79039"
"SON","6651"
"PNPT1","87178"
"SETD1A","9739"
"WARS","7453"
"CDT1","81620"
"PDCD11","22984"
"CLP1","10978"
"PKMYT1","9088"
"FNTB","2342"
"SART1","9092"
"EIF3H","8667"
"CINP","51550"
"DGCR14",NA
"NOL6","65083"
"WBSCR22",NA
"SLC25A45","283130"
"SPATA5L1","79029"
"WDR75","84128"
"MCM4","4173"
"EXOSC8","11340"
"MRPL37","51253"
"USP5","8078"
"SPDL1","54908"
"TRMT112","51504"
"HDAC3","8841"
"DYNLRB1","83658"
"RFC5","5985"
"SYMPK","8189"
"HAUS8","93323"
"SDAD1","55153"
"PNO1","56902"
"CCDC64B",NA
"RPAP1","26015"
"HAUS3","79441"
"NUP155","9631"
"CDC123","8872"
"THAP11","57215"
"SLC30A9","10463"
"ALG1","56052"
"HAUS4","54930"
"TLDC2","140711"
"NOP16","51491"
"ISCU","23479"
"OGT","8473"
"CIAO1","9391"
"SMC5","23137"
"POLR2G","5436"
"SNAPC2","6618"
"INTS2","57508"
"ECD","11319"
"RFC2","5982"
"MRPL4","51073"
"ALDH18A1","5832"
"HYOU1","10525"
"FGFR1","2260"
"LEMD2","221496"
"TTC9C","283237"
"NRF1","4899"
"NCKAP1","10787"
"GNL3","26354"
"WDR33","55339"
"PREB","10113"
"GLE1","2733"
"POLR2L","5441"
"AKIRIN2","55122"
"NUP62","23636"
"KIF20A","10112"
"TLN1","7094"
"BUD31","8896"
"KIF18A","81930"
"POLR2B","5431"
"TRIAP1","51499"
"INTS6","26512"
"SNRNP25","79622"
"CENPP","401541"
"HNF4A","3172"
"PRPF31","26121"
"CENPW","387103"
"TSEN54","283989"
"ZFX","7543"
"E4F1","1877"
"SMG1","23049"
"MRPL28","10573"
"RRM2","6241"
"PSMD6","9861"
"PRKRIP1","79706"
"MAPK8IP1","9479"
"ARFRP1","10139"
"EIF3M","10480"
"RABGGTA","5875"
"RPP21","79897"
"TRAIP","10293"
"MVK","4598"
"MED11","400569"
"SMG5","23381"
"DOLK","22845"
"RUSC1","23623"
"GTF2B","2959"
"CRY2","1408"
"UPF2","26019"
"SRP72","6731"
"PSMD3","5709"
"CHAF1B","8208"
"MYRF","745"
"CIT","11113"
"GRWD1","83743"
"ZMAT2","153527"
"INTS3","65123"
"PRMT1","3276"
"ELP3","55140"
"LETM1","3954"
"TNPO3","23534"
"DGCR8","54487"
"CENPI","2491"
"DTL","51514"
"CAD","790"
"CHEK1","1111"
"RIOK1","83732"
"SEC61A1","29927"
"TMCO6","55374"
"UBA3","9039"
"TOPBP1","11073"
"ERCC2","2068"
"DDX23","9416"
"CNIH2","254263"
"CCDC94",NA
"LUC7L3","51747"
"EXOSC4","54512"
"DCPS","28960"
"EPRS","2058"
"RPL12","6136"
"POLR1B","84172"
"COG3","83548"
"MRPS34","65993"
"NEDD1","121441"
"PPIL4","85313"
"EIF1AD","84285"
"DDX42","11325"
"DAD1","1603"
"HOXC13","3229"
"BUD13","84811"
"DIS3","22894"
"ANKRD32",NA
"RFC3","5983"
"SLC39A13","91252"
"GMPS","8833"
"MPHOSPH10","10199"
"ATP5A1",NA
"RRP1","8568"
"SRRT","51593"
"NSMCE4A","54780"
"MRPS30","10884"
"ZNF407","55628"
"SS18L2","51188"
"ACR","49"
"PPP1CA","5499"
"KPNA6","23633"
"DIMT1","27292"
"NUP205","23165"
"CDC7","8317"
"TBCD","6904"
"SKA3","221150"
"CTPS1","1503"
"NFS1","9054"
"POP5","51367"
"POLR2I","5438"
"ELP5","23587"
"PUF60","22827"
"UTP3","57050"
"UBXN1","51035"
"TAF10","6881"
"PDCD2","5134"
"C9orf114",NA
"MYBBP1A","10514"
"PPP1R8","5511"
"DDX39B","7919"
"ERGIC3","51614"
"QRSL1","55278"
"TRAPPC8","22878"
"SNAPC4","6621"
"ENO1","2023"
"CUL1","8454"
"CCDC130","81576"
"SCAND1","51282"
"PIGU","128869"
"CDK9","1025"
"COPS5","10987"
"WDR5","11091"
"VPS28","51160"
"ZNF131","7690"
"U2AF1","7307"
"UBTF","7343"
"MTOR","2475"
"ANAPC5","51433"
"PSMB5","5693"
"C12orf45","121053"
"IPO9","55705"
"DNAJA3","9093"
"SPCS3","60559"
"PPIL2","23759"
"KAT5","10524"
"ZBTB11","27107"
"UFD1L",NA
"CDC23","8697"
"GTF3C3","9330"
"WDR92","116143"
"PUM1","9698"
"SART3","9733"
"YAP1","10413"
"CARS","833"
"ABCF1","23"
"WDR82","80335"
"MYC","4609"
"VPS13D","55187"
"MRPL38","64978"
"SUPV3L1","6832"
"GPN2","54707"
"THOC1","9984"
"B3GAT3","26229"
"NXF1","10482"
"RAD51","5888"
"GTF3C5","9328"
"RPL18","6141"
"GINS3","64785"
"NOP58","51602"
"TTI1","9675"
"PTPN23","25930"
"METAP2","10988"
"KEAP1","9817"
"MAPKAP1","79109"
"SKIV2L2",NA
"ZFC3H1","196441"
"SLC35C1","55343"
"TDP2","51567"
"EIF2S1","1965"
"TUFM","7284"
"STX5","6811"
"RPL38","6169"
"VARS2","57176"
"ESPL1","9700"
"GINS4","84296"
"RAD51C","5889"
"SBNO1","55206"
"MRPL21","219927"
"CPSF3","51692"
"C1orf109","54955"
"PDRG1","81572"
"BCAS4","55653"
"LSM4","25804"
"MAP3K11","4296"
"EXTL3","2137"
"NOL9","79707"
"THG1L","54974"
"NUPL1",NA
"ITGB5","3693"
"WDR83","84292"
"BIRC5","332"
"SEH1L","81929"
"RPRD1B","58490"
"PDPK1","5170"
"SACM1L","22908"
"COG8","84342"
"SRFBP1","153443"
"EIF5B","9669"
"ETF1","2107"
"RBM28","55131"
"PRPF38B","55119"
"MAK16","84549"
"TTK","7272"
"NLE1","54475"
"ATP5F1",NA
"FADD","8772"
"TEX40",NA
"NARFL",NA
"PAFAH1B1","5048"
"EFNA3","1944"
"ARMC7","79637"
"CATSPER1","117144"
"CABP4","57010"
"TRAPPC3","27095"
"RPL8","6132"
"OGFR","11054"
"METTL3","56339"
"ATRIP","84126"
"DDX49","54555"
"ELP4","26610"
"MRPS14","63931"
"SIN3A","25942"
"POLR2H","5437"
"CWF19L2","143884"
"GID8","54994"
"SNIP1","79753"
"CDAN1","146059"
"PSMB3","5691"
"ASH2L","9070"
"EXOSC6","118460"
"ATP6V0C","527"
"TOP2A","7153"
"DHX8","1659"
"DNTTIP2","30836"
"CPSF4","10898"
"EXOSC2","23404"
"NAT10","55226"
"CRNKL1","51340"
"TUBGCP4","27229"
"GPKOW","27238"
"EIF2B3","8891"
"ADSL","158"
"CDC37","11140"
"RPIA","22934"
"SPI1","6688"
"PGS1","9489"
"CDK2","1017"
"GTF2H4","2968"
"FAM89B","23625"
"NAE1","8883"
"CDK5RAP1","51654"
"WDR7","23335"
"ILF3","3609"
"GSPT1","2935"
"TRIO","7204"
"AURKAIP1","54998"
"CENPL","91687"
"MFN2","9927"
"CCNK","8812"
"RBBP6","5930"
"ZNRD1","30834"
"COPS4","51138"
"ATP6V1B2","526"
"C15orf53",NA
"HARS2","23438"
"ALG14","199857"
"POP4","10775"
"HAUS7","55559"
"CNOT3","4849"
"ARIH1","25820"
"MAT2A","4144"
"PCNXL3",NA
"DHX38","9785"
"IQGAP3","128239"
"KIAA0947",NA
"ITGAV","3685"
"AAMP","14"
"DDX18","8886"
"RINT1","60561"
"ALG11","440138"
"TEFM","79736"
"MRPL13","28998"
"TIMM13","26517"
"DNLZ","728489"
"LAS1L","81887"
"RBM12","10137"
"TRMT5","57570"
"DDX20","11218"
"MYBL2","4605"
"PSMA2","5683"
"C10orf2",NA
"DIEXF",NA
"PPAN","56342"
"GPN3","51184"
"NVL","4931"
"NELFB","25920"
"NOP14","8602"
"COL9A3","1299"
"FTSJD2",NA
"EMC1","23065"
"POLR3K","51728"
"SNX32","254122"
"CAPN3","825"
"MDC1","9656"
"AMBRA1","55626"
"CHAF1A","10036"
"AASDHPPT","60496"
"SPRTN","83932"
"MED17","9440"
"IDH3A","3419"
"TTF1","7270"
"MRP63",NA
"TOP3A","7156"
"EXOSC9","5393"
"OTUB1","55611"
"ATF7","11016"
"UBE2M","9040"
"DHODH","1723"
"VPS52","6293"
"ACTR10","55860"
"NOM1","64434"
"TINF2","26277"
"CDC45","8318"
"TAF1C","9013"
"DLST","1743"
"SAE1","10055"
"RHPN1","114822"
"CYFIP1","23191"
"WBSCR16",NA
"MVD","4597"
"VPS54","51542"
"AARS2","57505"
"MCM3AP","8888"
"TWISTNB","221830"
"GNB1L","54584"
"GPR137","56834"
"LONP1","9361"
"TSG101","7251"
"UVRAG","7405"
"TAF2","6873"
"C21orf59",NA
"KNTC1","9735"
"RIOK2","55781"
"VWCE","220001"
"KARS","3735"
"DHDDS","79947"
"WRB","7485"
"TAF12","6883"
"GUK1","2987"
"NUDC","10726"
"NUP107","57122"
"6-Mar",NA
"WARS2","10352"
"MRPL39","54148"
"RPL31","6160"
"PPP1R35","221908"
"RPS2","6187"
"CFDP1","10428"
"ZC3H8","84524"
"SHARPIN","81858"
"LIN9","286826"
"SNRPD3","6634"
"CCNB1","891"
"CDC6","990"
"SAMD10","140700"
"C20orf201",NA
"ORC6","23594"
"LIN52","91750"
"CPSF3L",NA
"RRP36","88745"
"STT3A","3703"
"MRPL45","84311"
"RPL11","6135"
"NDUFAF1","51103"
"SRRD","402055"
"PMPCB","9512"
"PTPMT1","114971"
"POLRMT","5442"
"IKBKAP",NA
"INO80C","125476"
"RTFDC1",NA
"SCNM1","79005"
"SMC6","79677"
"NELFA","7469"
"HNRNPU","3192"
"SNRPD2","6633"
"NDC80","10403"
"DNA2","1763"
"HSPA9","3313"
"ZNF207","7756"
"MRPS22","56945"
"GAL3ST3","89792"
"KLF1","10661"
"PSMA3","5684"
"UBA2","10054"
"CENPT","80152"
"DNAJC9","23234"
"RPF1","80135"
"U2SURP","23350"
"BRIX1","55299"
"EWSR1","2130"
"IRS2","8660"
"OMP","4975"
"DCTN4","51164"
"DHPS","1725"
"EXOSC10","5394"
"ANKRD49","54851"
"TMED10","10972"
"RBBP5","5929"
"PPP1R7","5510"
"TXN2","25828"
"ATP5C1",NA
"TRIM28","10155"
"ZBTB17","7709"
"URM1","81605"
"HDDC3","374659"
"HAPLN2","60484"
"EIF4A1","1973"
"BUB1B","701"
"ATP1A1","476"
"NAA38","84316"
"RPAP2","79871"
"PLK4","10733"
"MCMBP","79892"
"LSM11","134353"
"ABCE1","6059"
"RBM14","10432"
"ZNF259",NA
"RFWD3","55159"
"SNX22","79856"
"TRAPPC4","51399"
"BCAR3","8412"
"TFAM","7019"
"RPS11","6205"
"SCYL1","57410"
"GTPBP4","23560"
"PIAS3","10401"
"ASNA1","439"
"TMEM199","147007"
"MCM6","4175"
"RHOA","387"
"GRM2","2912"
"RPS19BP1","91582"
"PIGM","93183"
"NAPA","8775"
"CEP192","55125"
"RRS1","23212"
"SNW1","22938"
"COG4","25839"
"RTEL1","51750"
"PIGV","55650"
"RPLP2","6181"
"ZZZ3","26009"
"RAD9A","5883"
"ORC1","4998"
"CEBPB","1051"
"CCT6A","908"
"YKT6","10652"
"SYT12","91683"
"TIMM23","100287932"
"PSMG3","84262"
"INTS5","80789"
"MACROD1","28992"
"WDR55","54853"
"RFT1","91869"
"CARHSP1","23589"
"ZNF335","63925"
"NCAPD2","9918"
"OPRL1","4987"
"QRICH1","54870"
"CRCP","27297"
"TRMT6","51605"
"YAE1D1",NA
"ATP6V1D","51382"
"TNNC2","7125"
"IGF1R","3480"
"TM9SF2","9375"
"FAM65C",NA
"DHFR","1719"
"FAM178A",NA
"KTI12","112970"
"ZMAT5","55954"
"PAK1IP1","55003"
"NAA10","8260"
"SMU1","55234"
"KANSL2","54934"
"PKN2","5586"
"SAP18","10284"
"GTF3C2","2976"
"ELMO2","63916"
"FURIN","5045"
"RAD51D","5892"
"VPS51","738"
"DNM1L","10059"
"CDC73","79577"
"CCDC115","84317"
"WDR18","57418"
"DKC1","1736"
"TAF6","6878"
"INTS7","25896"
"GMPPB","29925"
"LAMTOR5","10542"
"NUDT8","254552"
"THAP1","55145"
"BARD1","580"
"NUP88","4927"
"COASY","80347"
"OSBP","5007"
"ALYREF","10189"
"TIMM10","26519"
"AHCY","191"
"URB1","9875"
"BTAF1","9044"
"COQ4","51117"
"PCF11","51585"
"N6AMT1","29104"
"DYNC1H1","1778"
"ARPC4","10093"
"HMGCR","3156"
"MAPK15","225689"
"XRN1","54464"
"RACGAP1","29127"
"FDXR","2232"
"NARS2","79731"
"DAP3","7818"
"YRDC","79693"
"TRAPPC1","58485"
"OXA1L","5018"
"EIF2B5","8893"
"PPP6R3","55291"
"SNF8","11267"
"MIS18A","54069"
"RPS25","6230"
"TBC1D10B","26000"
"PGM3","5238"
"POLR3F","10621"
"SWI5","375757"
"GBF1","8729"
"SLC5A12","159963"
"POP1","10940"
"PGLS","25796"
"MRPL16","54948"
"PHAX","51808"
"PSMC5","5705"
"ABT1","29777"
"FNBP4","23360"
"ARGLU1","55082"
"BBS1","582"
"MED27","9442"
"COX5B","1329"
"PRKAG1","5571"
"NAA15","80155"
"SAMHD1","25939"
"FAM83H","286077"
"CPSF1","29894"
"TAF6L","10629"
"NPAT","4863"
"SRSF11","9295"
"PSMD8","5714"
"RPP30","10556"
"CLNS1A","1207"
"USO1","8615"
"MRPS18B","28973"
"TRNT1","51095"
"HM13","81502"
"RRP12","23223"
"SPATA2","9825"
"PCED1B","91523"
"NUP43","348995"
"NAF1","92345"
"TPX2","22974"
"HUWE1","10075"
"BORA","79866"
"DDR1","780"
"BCL2L1","598"
"DARS","1615"
"H2AFX","3014"
"SOD1","6647"
"PRPF18","8559"
"COX4I1","1327"
"PCYT1A","5130"
"SMC1A","8243"
"ORAOV1",NA
"MRPS11","64963"
"TCP1","6950"
"FEN1","2237"
"ARFGAP2","84364"
"EIF4EBP2","1979"
"LRFN4","78999"
"G6PD","2539"
"C19orf52",NA
"TTC1","7265"
"RAN","5901"
"MMS19","64210"
"GATA2","2624"
"DDX59","83479"
"DARS2","55157"
"UTP11L",NA
"GPI","2821"
"PEX16","9409"
"DSCC1","79075"
"MORC2","22880"
"IBA57","200205"
"HOXC4","3221"
"CREBZF","58487"
"PET117","100303755"
"ATP6V1H","51606"
"NFRKB","4798"
"SLC15A3","51296"
"MRPS2","51116"
"SLC25A3","5250"
"TRERF1","55809"
"KRI1","65095"
"SKP2","6502"
"PCBP4","57060"
"NXT1","29107"
"GLCE","26035"
"MROH6","642475"
"RBM38","55544"
"ORC5","5001"
"MARS2","92935"
"MTHFD2L","441024"
"ASTL","431705"
"SIPA1","6494"
"RPP40","10799"
"CSNK2B","1460"
"HSD17B12","51144"
"CNTROB","116840"
"PSMD4","5710"
"NAA50","80218"
"STT3B","201595"
"ZFPL1","7542"
"REXO2","25996"
"INTS8","55656"
"FBXL6","26233"
"SNAPC5","10302"
"MESDC2",NA
"CEP57","9702"
"ATIC","471"
"COA3","28958"
"CMPK1","51727"
"EXOSC5","56915"
"ATP6V1B1","525"
"PDE4DIP","9659"
"MRPL20","55052"
"METTL16","79066"
"DCAF15","90379"
"E2F3","1871"
"SLC25A10","1468"
"XPO5","57510"
"ANAPC15","25906"
"MNT","4335"
"COX15","1355"
"MLST8","64223"
"NUP188","23511"
"NGDN","25983"
"ALG12","79087"
"CHMP7","91782"
"HOXC6","3223"
"ZRSR2","8233"
"TMEM151A","256472"
"TMEM41B","440026"
"SSRP1","6749"
"CREB3L1","90993"
"EXD1","161829"
"SLC39A7","7922"
"MRPL41","64975"
"NUDT21","11051"
"GAK","2580"
"ZNF622","90441"
"LEO1","123169"
"NSMCE1","197370"
"TAF1A","9015"
"YTHDC1","91746"
"ZNF408","79797"
"TUBG1","7283"
"RDH5","5959"
"UBE2I","7329"
"GAR1","54433"
"EXOSC3","51010"
"MUC1","4582"
"SIKE1","80143"
"ME3","10873"
"ATP6V1C1","528"
"MRPS6","64968"
"RPP38","10557"
"ERCC3","2071"
"ORC3","23595"
"C6orf15","29113"
"PRSS35","167681"
"RPUSD4","84881"
"RBPJL","11317"
"ASRGL1","80150"
"RQCD1",NA
"POP7","10248"
"DPM3","54344"
"NFAT5","10725"
"SLU7","10569"
"KCNH3","23416"
"DROSHA","29102"
"CENPO","79172"
"MAF1","84232"
"MRPL9","65005"
"DTX4","23220"
"ZNF281","23528"
"SYVN1","84447"
"MGAT1","4245"
"POLD2","5425"
"PPM1J","333926"
"ARF1","375"
"CAT","847"
"PMM2","5373"
"GEMIN8","54960"
"SKA1","220134"
"RPL13","6137"
"GALK1","2584"
"THOC5","8563"
"C14orf178","283579"
"PKM","5315"
"CTCF","10664"
"CD3EAP","10849"
"PRPH","5630"
"USP7","7874"
"DAZAP2","9802"
"IKZF4","64375"
"WFDC3","140686"
"SELRC1",NA
"ATP13A1","57130"
"S100A5","6276"
"CLDN15","24146"
"LINS",NA
"SURF6","6838"
"VPS45","11311"
"NUP214","8021"
"DNAJC4","3338"
"RPS18","6222"
"DPH5","51611"
"BNIP1","662"
"LRRC26","389816"
"TUBGCP2","10844"
"EXOSC7","23016"
"POLG","5428"
"GALR2","8811"
"STRN3","29966"
"NUBP1","4682"
"MRPL44","65080"
"WDR77","79084"
"SF3A3","10946"
"ATP6V0D1","9114"
"FUBP3","8939"
"GRB2","2885"
"NAA35","60560"
"CEBPZ","10153"
"STAG2","10735"
"FIP1L1","81608"
"NAA25","80018"
"RPS27","6232"
"ASNS","440"
"NPBWR2","2832"
"CHD4","1108"
"ANKRD63","100131244"
"NUP37","79023"
"HNRNPM","4670"
"GGPS1","9453"
"DHX16","8449"
"TNPO1","3842"
"PPP2R1A","5518"
"HIST2H2AB","317772"
"NAA20","51126"
"CDK1","983"
"RPS9","6203"
"PELO","53918"
"MRPL46","26589"
"CNBP","7555"
"RFC4","5984"
"C1orf56","54964"
"EAPP","55837"
"RNF8","9025"
"EXOC3","11336"
"KANSL1","284058"
"FCF1","51077"
"CHERP","10523"
"SYT15","83849"
"IPO13","9670"
"DALRD3","55152"
"RASGRP2","10235"
"REM1","28954"
"DNTTIP1","116092"
"TBP","6908"
"HSF1","3297"
"KREMEN1","83999"
"RAD21","5885"
"PRPF40A","55660"
"RBM39","9584"
"CENPK","64105"
"ATP5O",NA
"DR1","1810"
"KLF16","83855"
"RPS29","6235"
"ZNHIT6","54680"
"PRPF4B","8899"
"KBTBD4","55709"
"RTF1","23168"
"BAG6","7917"
"SOS1","6654"
"STX18","53407"
"PSMD12","5718"
"AAR2","25980"
"AKIP1","56672"
"PTRH1","138428"
"TUBB","203068"
"EIF1","10209"
"NCAPH","23397"
"NOL12","79159"
"HSP90B1","7184"
"DYNC1LI1","51143"
"SYPL2","284612"
"POLR3B","55703"
"RPF2","84154"
"RFX5","5993"
"SEC61G","23480"
"PCBP1","5093"
"KIF14","9928"
"SUPT4H1","6827"
"SLC25A25","114789"
"TRAPPC5","126003"
"TPT1","7178"
"YEATS4","8089"
"ACO2","50"
"RPL3","6122"
"TMA16","55319"
"RPL10","6134"
"GON4L","54856"
"TERF2IP","54386"
"MRPS27","23107"
"CST2","1470"
"TM7SF2","7108"
"KRT75","9119"
"EHMT1","79813"
"MRPL12","6182"
"MS4A5","64232"
"RAPSN","5913"
"DDX51","317781"
"NAA30","122830"
"POLR2F","5435"
"TRMT61A","115708"
"C9orf78","51759"
"PMVK","10654"
"PI4KB","5298"
"NFATC2IP","84901"
"TXN","7295"
"C2orf68","388969"
"POLR3E","55718"
"PPP3R1","5534"
"CEP85","64793"
"DCLRE1B","64858"
"ARHGEF17","9828"
"TPBGL","100507050"
"TGOLN2","10618"
"TOMM40","10452"
"SLC38A4","55089"
"ZNF428","126299"
"UFSP1","402682"
"GPAA1","8733"
"CAND1","55832"
"PPP2CA","5515"
"ZDHHC12","84885"
"RSRC2","65117"
"DCTN5","84516"
"GLI4","2738"
"SNRNP35","11066"
"COX10","1352"
"NOB1","28987"
"EIF4E","1977"
"NOL11","25926"
"IFT57","55081"
"CENPC1",NA
"CCRL2","9034"
"RPL10A","4736"
"RBBP8","5932"
"PHGR1","644844"
"WBSCR27",NA
"ARAP1","116985"
"SNAPC1","6617"
"XBP1","7494"
"HAUS1","115106"
"RPL27A","6157"
"POLA1","5422"
"ITPK1","3705"
"PISD","23761"
"MRPL14","64928"
"NRDE2","55051"
"UBA5","79876"
"CELF1","10658"
"RSAD1","55316"
"TIGD3","220359"
"SLC25A31","83447"
"TRRAP","8295"
"APH1B","83464"
"MTBP","27085"
"MRPL53","116540"
"PSMD7","5713"
"PLRG1","5356"
"KIAA0391",NA
